2026-02-04T08:58:29.156554 | 109.175.38.179 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-04T08:58:29.581022 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T08:58:29.946359 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T08:58:34.699990 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:06:28.608862 | 185.186.250.125 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-04T11:06:28.707760 | 185.186.250.125 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-04T11:06:32.845713 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T11:06:33.385441 | 185.186.250.125 | admin | LOGIN_FAILED |  | FAILED
2026-02-04T11:06:41.857123 | 185.186.250.125 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T11:06:42.385663 | 185.186.250.125 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-04T11:06:42.449380 | 185.186.250.125 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:07:14.740456 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:07:17.760847 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:07:28.860463 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /run-scrapers | SUCCESS
2026-02-04T11:07:46.942863 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T11:08:53.248259 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T11:41:22.273517 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:41:27.285975 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:41:59.805366 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T11:42:40.656681 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T11:42:53.498464 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T11:42:56.420928 | 109.175.38.179 | admin | ACCESS_GRANTED | Accessed /list | SUCCESS
2026-02-04T19:43:47.270823 | 139.59.112.61 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-04T20:14:27.181000 | 139.59.112.61 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-04T22:19:36.364724 | 82.118.3.206 | ANONYMOUS | ACCESS_DENIED | Tried to access / | DENIED
2026-02-04T22:19:36.585824 | 82.118.3.206 | ANONYMOUS | LOGIN_PAGE_VIEW |  | SUCCESS
2026-02-04T22:19:39.839975 | 82.118.3.206 | admin | LOGIN_ATTEMPT |  | SUCCESS
2026-02-04T22:19:40.399185 | 82.118.3.206 | admin | LOGIN_SUCCESS | Role: admin | SUCCESS
2026-02-04T22:19:40.511269 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
2026-02-04T22:19:42.191233 | 82.118.3.206 | admin | ACCESS_GRANTED | Accessed / | SUCCESS
